smiles,RF_homo,RF_lumo,RF_gap,norm_homo,norm_lumo,norm_gap,score,rank
O=P(O)(O)CP(=O)(O)O,-7.8162599999999385,0.959459999999993,8.696340000000063,0.5903812572758396,0.8138236942799291,1.0,0.8212614854667306,1
O=P(O)(O)OP(=O)(O)O,-7.866739999999954,0.9960199999999938,8.44402000000002,0.6271100116413928,0.836099534498301,0.8516741911211243,0.7796325402903579,2
CP(C)C.O=P(O)(O)OP(=O)(O)O,-7.950219999999986,0.7726199999999954,8.490740000000015,0.6878492433061432,0.6999829397284941,0.8791384499623547,0.7680050348953331,3
CP(C)(C)=O.O=P(O)(O)OP(=O)(O)O,-7.923459999999977,0.8417799999999951,8.44112000000001,0.6683789289871616,0.7421218103385204,0.8499694319036628,0.7631379945591696,4
C[Si]1(C)O[Si](C)(C)O1.O=P(O)(O)OP(=O)(O)O,-8.032859999999989,0.7505999999999956,8.396859999999997,0.7479772991850755,0.6865662547829652,0.8239512791572299,0.7599435778533041,5
FC(F)(F)C(F)(F)S(F)(F)F.O[PH](O)=S,-7.924339999999982,0.7482999999999966,8.483439999999987,0.6690192083818101,0.6851648753381558,0.8748471595183958,0.756194088923348,6
CC1(C)OC(=O)O1.O[PH](O)=S,-7.8873799999999825,0.7373999999999973,8.520399999999992,0.6421274738067222,0.6785235553605783,0.8965740218208804,0.7548249174785424,7
CC(C)(P(=O)(O)O)P(=O)(O)O,-7.701559999999967,0.8244999999999956,8.621660000000022,0.5069266589056607,0.7315931856401219,0.9560995109104367,0.7539957577279095,8
CP(C)(C)=O.O=P(O)(O)O,-7.795719999999972,0.962659999999995,8.406300000000002,0.5754365541326738,0.8157734395944486,0.8295005643340572,0.7491632238517596,9
CP(C)C.O=P(O)(O)O,-7.791999999999985,0.9171399999999961,8.432260000000012,0.5727299185098662,0.7880383124954267,0.8447610985703307,0.7461349087297202,10
O=S1(=O)CCC1.O[PH](O)=S,-8.036879999999988,0.7627199999999976,8.318920000000011,0.7509022118742479,0.6939509151617045,0.7781344055680757,0.744709700338016,11
O=P(O)(O)OP(=O)(O)O.O=P(O)(O)OP(=O)(O)O,-7.987779999999979,0.8490399999999946,8.270220000000002,0.7151775320139384,0.7465452950208334,0.7495062076749184,0.7383193311803989,12
C[Si]1(C)O[Si](C)(C)O1.O[PH](O)=S,-7.9741599999999835,0.7416399999999963,8.349179999999999,0.7052677532013689,0.6811069679023144,0.7959226862302193,0.7342814908231927,13
FC(F)(F)C(F)(F)S(F)(F)F.O=P(O)(O)OP(=O)(O)O,-7.75505999999998,0.8465999999999951,8.465139999999986,0.5458527357391985,0.7450586142185136,0.8640895410082372,0.7329092213906085,14
O=P(O)(O)O.O=P(O)(O)OP(=O)(O)O,-7.933439999999974,0.8870199999999947,8.258400000000007,0.6756402793946101,0.7696863347225225,0.7425578442437706,0.7306211219326479,15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1.O[PH](O)=S,-8.034079999999989,0.7046799999999963,8.286319999999984,0.7488649592549246,0.6585874095196282,0.7589705605718224,0.7258239348610949,16
BB(BOP(=O)(O)O)OP(=O)(O)O.c1ccc2nc3ccccc3nc2c1,-7.814139999999991,0.7095199999999976,8.480919999999992,0.588838766006961,0.6615363993078379,0.8733657825432299,0.7244588626117316,17
O=P(O)(O)OP(=O)(O)O.O=[PH](F)F,-7.665359999999975,0.9296999999999949,8.437420000000005,0.4805878928986811,0.7956910628549102,0.8477943942813875,0.7220014444386325,18
FC(F)C(F)(F)F.O=P(O)(O)OP(=O)(O)O,-7.8622199999999856,0.8660399999999949,8.297699999999988,0.6238213038416482,0.756903317004212,0.7656602708803275,0.7204814946058891,19
C[Si]1(C)O[Si](C)(C)O1.O=[PH](O)O,-7.794499999999981,0.7795199999999962,8.427600000000002,0.5745488940628318,0.7041870780629246,0.8420217268622734,0.7204294823826363,20
C1COCCO1.OP(O)(O)=S,-7.735039999999983,0.8492999999999968,8.425000000000006,0.5312863795110276,0.7467037118276394,0.8404933220466253,0.7195943562202503,21
O=P(O)(O)O.OP(O)(O)=S,-7.827719999999972,0.9857999999999951,8.223940000000006,0.5987194412106716,0.829872535400059,0.7223006019563369,0.717497833765754,22
BB(BOP(=O)(O)O)OP(=O)(O)O.c1ccc2ccccc2c1,-7.8158199999999916,0.7214399999999969,8.439099999999986,0.5900611175785562,0.6687992006044181,0.8487819789314885,0.7171708870274878,23
FC(F)(F)C(F)(F)F.O=P(O)(O)OP(=O)(O)O,-7.882099999999987,0.859939999999995,8.269299999999987,0.638285797438856,0.7531866149984117,0.7489653875093714,0.7170278787349289,24
C1COCCO1.O[PH](O)=S,-7.77257999999998,0.7792599999999967,8.423020000000013,0.5586001164144028,0.7040286612561203,0.8393293829947108,0.7145203864990413,25
O=S1(=O)OCCO1.OP(O)(O)=S,-7.850819999999982,0.779359999999998,8.341640000000018,0.6155267753201095,0.7040895907971998,0.7914903122648429,0.7124810347411299,26
FC(F)C(F)(F)F.O[PH](O)=S,-7.982839999999978,0.7803599999999972,8.215999999999994,0.711583236321272,0.7046988862079863,0.717633088788534,0.7119378722741911,27
CCP(C)(C)=O.O=P(O)(O)OP(=O)(O)O,-7.9005199999999824,0.7547199999999958,8.31206000000001,0.6516880093131254,0.6890765518754076,0.7741017682467808,0.7118700756552723,28
O=S1(=O)CCC1.OP(O)(O)=S,-7.948659999999983,0.7642999999999972,8.258300000000004,0.6867142025610891,0.6949136019107476,0.7424990594431664,0.7114879651188175,29
O=S1(=O)OCCCO1.OP(O)(O)=S,-7.829219999999997,0.7760999999999979,8.35686000000003,0.5998108265424715,0.7021032877580342,0.8004373589164677,0.7107491778567387,30
C1COCCO1.O=P(O)(O)OP(=O)(O)O,-7.774899999999985,0.7132599999999962,8.452380000000018,0.5602881257275607,0.6638151641441803,0.8565886004514471,0.7098664271421011,31
C1COCCO1.O=P(O)(O)OP(=O)(O)O,-7.774899999999985,0.7132599999999962,8.452380000000018,0.5602881257275607,0.6638151641441803,0.8565886004514471,0.7098664271421011,32
O=P(O)(O)OP(=O)(O)O.OP(O)(O)=S,-7.909839999999972,0.8883599999999948,8.187300000000006,0.6584691501745841,0.770502790572977,0.7007618510157805,0.7089963226305804,33
O[PH](O)=S.c1ccoc1,-7.93173999999999,0.8248199999999979,8.212320000000005,0.6744033760186028,0.7317881601715751,0.7154698081263895,0.7080453841076091,34
FC(F)(F)C(F)(F)S(F)(F)F.O=[PH](O)O,-7.58423999999998,0.8912999999999954,8.471599999999992,0.42156577415595997,0.7722941190806911,0.867887039127127,0.7053127836218461,35
COS(=O)(=O)OC.O=P(O)(O)OP(=O)(O)O,-7.589399999999978,0.8640999999999945,8.487340000000005,0.4253201396972859,0.7557212839072851,0.877139766741883,0.7051683337781245,36
CCOC(=O)OC.O[PH](O)=S,-7.87123999999999,0.7953199999999961,8.279160000000003,0.6303841676367625,0.7138139455533586,0.7547615688487337,0.7051640614965298,37
O=P(OC(F)(F)F)(OC(F)(F)F)OC(F)(F)F,-8.095439999999995,0.47153999999999907,8.320759999999977,0.7935098952269897,0.516536277448757,0.7792160458991315,0.7047002701623766,38
O[PH](O)=S.c1ccc2nc3ccccc3nc2c1,-7.945039999999993,0.7647799999999976,8.227820000000001,0.684080325960398,0.6952060637079256,0.7245814522196898,0.703618497788373,39
