smiles,RF_homo,RF_lumo,RF_gap,norm_homo,norm_lumo,norm_gap,score,rank,has_B,has_P,MW
O=P(O)(O)CP(=O)(O)O,-7.8162599999999385,0.959459999999993,8.696340000000063,0.5903812572758396,0.8138236942799291,1.0,0.8212614854667306,1,0,1,176.001
O=P(O)(O)OP(=O)(O)O,-7.866739999999954,0.9960199999999938,8.44402000000002,0.6271100116413928,0.836099534498301,0.8516741911211243,0.7796325402903579,2,0,1,177.973
CP(C)C.O=P(O)(O)OP(=O)(O)O,-7.950219999999986,0.7726199999999954,8.490740000000015,0.6878492433061432,0.6999829397284941,0.8791384499623547,0.7680050348953331,3,0,1,254.052
CP(C)(C)=O.O=P(O)(O)OP(=O)(O)O,-7.923459999999977,0.8417799999999951,8.44112000000001,0.6683789289871616,0.7421218103385204,0.8499694319036628,0.7631379945591696,4,0,1,270.051
C[Si]1(C)O[Si](C)(C)O1.O=P(O)(O)OP(=O)(O)O,-8.032859999999989,0.7505999999999956,8.396859999999997,0.7479772991850755,0.6865662547829652,0.8239512791572299,0.7599435778533041,5,0,1,326.283
FC(F)(F)C(F)(F)S(F)(F)F.O[PH](O)=S,-7.924339999999982,0.7482999999999966,8.483439999999987,0.6690192083818101,0.6851648753381558,0.8748471595183958,0.756194088923348,6,0,1,306.13599999999997
CC1(C)OC(=O)O1.O[PH](O)=S,-7.8873799999999825,0.7373999999999973,8.520399999999992,0.6421274738067222,0.6785235553605783,0.8965740218208804,0.7548249174785424,7,0,1,200.15200000000002
CC(C)(P(=O)(O)O)P(=O)(O)O,-7.701559999999967,0.8244999999999956,8.621660000000022,0.5069266589056607,0.7315931856401219,0.9560995109104367,0.7539957577279095,8,0,1,204.05499999999998
CP(C)(C)=O.O=P(O)(O)O,-7.795719999999972,0.962659999999995,8.406300000000002,0.5754365541326738,0.8157734395944486,0.8295005643340572,0.7491632238517596,9,0,1,190.072
CP(C)C.O=P(O)(O)O,-7.791999999999985,0.9171399999999961,8.432260000000012,0.5727299185098662,0.7880383124954267,0.8447610985703307,0.7461349087297202,10,0,1,174.073
