smiles,RF_homo,XGB_homo,RF_lumo,XGB_lumo,RF_gap,XGB_gap,score,rank
P(=O)(C)(C)O,-7.436979999999961,-7.178578,0.8860899999999976,1.3506979,8.377066000000012,10.200247,1.8586470584461299,1
P(=O)(F)(C)(C),-7.407499999999967,-7.24749,0.8681133333333311,1.0268497,8.523950000000012,9.495174,1.6898208542175368,2
c1ccc(P(=O)(O)O)cc1,-7.043030666666703,-6.6506996,1.2051100000000012,1.578219,8.220261190476199,8.230415,1.6535751230405324,3
O=P(O)(O)c1ccccc1,-7.043030666666703,-6.6506996,1.2051100000000012,1.578219,8.220261190476199,8.230415,1.6535751230405324,4
P(=O)(O)(O)O,-7.203487999999978,-6.8907356,1.1593499999999937,1.5196477,8.400805999999978,8.410581,1.6499934407024361,5
P(=O)(Cl)(Cl)Cl,-7.581699999999979,-7.3311596,0.7380566666666654,1.4597354,8.239354333333333,9.493113,1.6392332497614572,6
P(C)(C)(=O)C,-7.529028333333307,-7.062711,0.8361466666666644,0.8706514,8.390783333333342,9.451054,1.6356262398297048,7
P(C)(C)C,-7.631086666666655,-7.115716,0.6125299999999991,1.4581847,8.241454999999998,9.21093,1.589063784904482,8
P(=O)(Cl)(C)(C),-7.578613333333307,-7.204114,0.7956566666666646,0.96737766,8.17733266666666,9.367289,1.5559703065877302,9
[P+](C)(C)(C)C,-7.638213333333313,-7.2771945,0.6341666666666648,1.441138,8.156340000000002,9.117802,1.5288128626213102,10
O=P(O)(O)c1cccs1,-7.330823333333351,-6.8361993,0.9218199999999976,1.2269241,8.307634333333331,8.291627,1.5171104694403306,11
O=P(O)(O)c1ccccn1,-7.247683333333345,-6.6913605,0.8603783333333312,1.4803462,7.927571666666674,8.295112,1.504788773953755,12
O=P(O)(O)c1cscn1,-7.402358333333331,-7.036886,0.9034616666666644,1.2561057,8.242606333333333,8.358694,1.478308498901622,13
O=P(O)(O)c1ccncc1,-7.212756666666678,-6.832287,0.8852633333333312,1.5091598,7.810796666666668,8.305223,1.4756109716275516,14
O=P(O)(O)c1cncs1,-7.4040849999999985,-7.036886,0.8427099999999981,1.3040178,8.19495633333333,8.368607,1.4685760651934303,15
O=P(O)(O)c1ccc[nH]1,-7.182091666666671,-7.07123,0.9225499999999976,1.4704971,7.906491666666666,8.323146,1.4668863361104323,16
O=P(O)(O)c1ccsc1,-7.337243333333342,-6.8339796,0.9246733333333309,1.304043,7.996688666666667,8.280049,1.4639716153333016,17
O=P(O)(O)c1ccoc1,-7.2809016666666695,-6.871618,0.7308666666666662,1.4708664,8.023710333333337,8.255838,1.4632917926531481,18
OP(=O)(O)OP(=O)(O)O,-7.864051666666633,-8.0226965,0.8224849999999961,1.4564886,8.594825333333358,8.908495,1.4594978736735125,19
O=P(O)(O)c1cc[nH]c1,-7.1456916666666705,-7.07123,0.9325166666666642,1.4704971,7.795388333333331,8.325541,1.4520996046854644,20
CCOP(=O)(OCC)OCC,-7.6480200000000345,-7.5503325,0.7057133333333343,1.2293193,8.42370333333338,8.7795515,1.45115298604457,21
