name,smiles,homo,lumo,gap,type
LiBOB,[Li+].O=C1OB(O1)(OC2=O)C(=O)O2,-8.12,0.32,8.44,B
LiDFOB,[Li+].O=C1O[B-](F)(F)OC1=O,-8.45,-0.15,8.3,B
LiBF4,[Li+].[B-](F)(F)(F)F,-9.01,-0.52,8.49,B
TMSB,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,-7.98,-0.18,7.8,B
BoricAcid,B(O)(O)O,-8.54,0.45,8.99,B
TriMeBorate,B(OC)(OC)OC,-8.21,0.28,8.49,B
TriEtBorate,B(OCC)(OCC)OCC,-7.89,0.35,8.24,B
BenzeneBoronic,OB(O)c1ccccc1,-7.45,-0.52,6.93,B
BPinacol,B1(OC(C)(C)C(C)(C)O1)c2ccccc2,-7.12,-0.38,6.74,B
BNaphthol,OB(O)c1cccc2ccccc12,-6.98,-0.61,6.37,B
TMP,COP(=O)(OC)OC,-7.55,1.23,8.78,P
TEP,CCOP(=O)(OCC)OCC,-7.23,1.45,8.68,P
TFEP,FC(F)(F)COP(=O)(OCC(F)(F)F)OCC(F)(F)F,-8.67,-0.61,8.06,P
TPP,O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3,-7.12,-0.45,6.67,P
DMMP,COP(=O)(C)OC,-7.48,1.12,8.6,P
TCEP,FC(F)(F)C(P(=O)(OCC(F)(F)F)OCC(F)(F)F,-8.45,-0.38,8.07,P
PhosA,O=P(O)(O)O,-9.12,1.65,10.77,P
DiEtPhos,CCOP(=O)(OCC)O,-7.89,0.89,8.78,P
TriBuPhos,CCCCOP(=O)(OCCCC)OCCCC,-6.89,1.52,8.41,P
FEC,O=C1OCC(F)(F)O1,-7.89,-0.28,7.61,Ref
VC,O=C1OC=CO1,-6.72,-0.89,5.83,Ref
EC,O=C1OCCO1,-8.15,-0.15,8.0,Ref
DMC,COC(=O)OC,-8.45,0.45,8.9,Ref
DEC,CCOC(=O)OCC,-8.12,0.52,8.64,Ref
PS,O=S1(=O)CCC1,-7.56,-0.32,7.24,Ref
MMDS,O=S(=O)(C)OC,-7.89,-0.18,7.71,Ref
SN,N#CCC,-8.34,0.89,9.23,Ref
ADN,N#CCCC#N,-8.67,-0.45,8.22,Ref
HMPN,CN1P(=N)(N(C)C)N(C)C1,-6.89,-0.12,6.77,P
EtOPhos,CCOP(=O)(OCC)OCC,-7.23,1.45,8.68,P
BPinOP,B1(OC(C)(C)C(C)(C)O1)OP(=O)(OC)OC,-7.45,-0.28,7.17,BP
