name,smiles,homo,lumo,gap,type,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
LiBOB,[Li+].O=C1OB(O1)(OC2=O)C(=O)O2,-8.12,0.32,8.44,B,11.621666666666666,11.621666666666666,0.0,-4.648148148148149,0.2606854355036014,21.0,143.767,143.767,144.00177487,50,0,1.0,-0.592566205773561,1.0,0.592566205773561,1.1,1.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7919017249340732,8.099998798500182e-07,164.09640474436813,7.068914100752346,4.966272377063532,4.966272377063532,4.011637233826859,1.9743368821907428,1.9743368821907428,1.345669194825115,1.345669194825115,0.6551420478692496,0.6551420478692496,0.36950391596236587,0.36950391596236587,-0.5376623376623378,82.42747934696736,9.462337662337662,2.600154682308523,1.7195437534749676,66.10369726274627,17.940034055243174,0.0,0.0,0.0,0.0,37.90505358688048,0.0,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,46.38971163466144,19.044450375605862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.860603211274622,8.631317787192485,0.0,0.0,19.044450375605862,18.897790636194337,0.0,0.0,0.0,0.0,0.0,0.0,52.6,19.044450375605862,18.22039215533613,0.0,18.860603211274622,0.0,0.0,0.0,0.0,0.0,9.308716268050691,0.0,29.60212962962963,0.0,19.65712962962963,0.0,0.0,-3.2777777777777772,0.0,0.0,0.0,-4.648148148148149,0.0,10,0,4,0,1,1,0,0,0,0,0,0,4,0,8,1,0,0,1,1,0,0,2.4603541578311554,1,-3.5350000000000006,20.154000000000003,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiDFOB,[Li+].O=C1O[B-](F)(F)OC1=O,-8.45,-0.15,8.3,B,9.75,9.75,0.0,-6.0,0.24769866782472053,10.0,93.74500000000002,93.74500000000002,94.01892283000001,32,0,1.0,-0.41830327965626324,1.0,0.41830327965626324,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7219280948873623,0.0,23.019550008653873,4.5,3.089208161226535,3.089208161226535,2.0,0.8728715609439696,0.8728715609439696,0.49487165930539356,0.49487165930539356,0.0,0.0,0.0,0.0,0.3823376623376621,3.6096404744368114,9.627421416826596,2.5375993829091974,342.9616810578956,44.189228203482294,17.26263557438497,0.0,0.0,0.0,0.0,26.11501156435733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.123238785659595,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.860603211274622,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,18.860603211274622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4.07175644105766,0,-1.6960000000000006,10.186000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiBF4,[Li+].[B-](F)(F)(F)F,-9.01,-0.52,8.49,B,5.953750000000001,5.953750000000001,0.45370370370370416,-1.6253858024691359,0.695689554499412,14.0625,278.382,251.16599999999997,278.136104714,96,0,0.6061454563781291,-0.42951367507204474,0.6061454563781291,0.42951367507204474,0.5,0.6875,0.8125,28.35491504566915,10.281680963570242,2.3642875198578013,-2.313468726001354,2.1571630945100617,-2.488539926302249,6.830018928590953,0.2997450029014238,1.6985288915192625,4.525741017282253,179.47067498701918,13.19867061274927,12.302095140581216,15.302095140581216,6.785405043171411,5.819479216882343,16.044224088273932,6.97934583227547,20.360687227636788,1.349335306374634,4.048005919123904,0.9381941874331419,3.247595264191647,0.5955844155844155,721.8747788956865,16.595584415584415,5.491997607209969,11.092104259900566,104.43987806525408,13.030500619033642,0.0,24.952179758098616,0.0,0.0,7.3212123586851945,0.0,0.0,0.0,0.0,0.0,58.92310218312978,0.0,0.0,13.030500619033642,32.27339211678381,0.0,0.0,0.0,58.92310218312978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.27339211678381,13.030500619033642,0.0,0.0,0.0,58.92310218312978,0.0,0.0,27.69,32.27339211678381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.92310218312978,13.030500619033642,17.861250000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.385277777777777,-5.329861111111112,1.0,16,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,6,0,0,0,0,0,5.696431868790041,0,3.525800000000002,79.04700000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMSB,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,-7.98,-0.18,7.8,B,7.166666666666667,7.166666666666667,2.166666666666667,-2.166666666666667,0.2827937198183339,6.75,61.833000000000006,58.809000000000005,62.017524355999996,24,0,0.6306456328238041,-0.4018195480003625,0.6306456328238041,0.4018195480003625,1.0,1.0,1.0,16.526024042221817,10.286975957778171,1.9224727044657288,-1.6916466196422872,1.3986316102504235,-2.0667316102504234,6.301841036939469,0.2779589630605319,0.8112781244591328,2.3237900077244498,8.0,3.5773502691896257,1.9189910556894996,1.9189910556894996,1.7320508075688772,0.7745966692414834,0.7745966692414834,0.34641016151377546,0.34641016151377546,0.0,0.0,0.0,0.0,-0.05506493506493516,3.2451124978365313,3.944935064935065,1.2845011259687569,572.7416598780339,23.684517280895907,15.07206772519801,0.0,0.0,0.0,0.0,7.3212123586851945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.07206772519801,7.3212123586851945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3932800838832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.69,7.3212123586851945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.07206772519801,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.0,0.0,-2.166666666666667,0.0,4,3,3,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,1.2668183831956805,0,-2.0518,12.4104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BoricAcid,B(O)(O)O,-8.54,0.45,8.99,B,4.604166666666667,4.604166666666667,0.5138888888888893,-0.5138888888888893,0.4679875811398659,9.0,103.914,94.842,104.06447454799999,42,0,0.6383004523324126,-0.388689817804141,0.6383004523324126,0.388689817804141,0.8571428571428571,1.1428571428571428,1.1428571428571428,16.722035283078483,10.235760609172377,2.119618793970451,-2.011159137349125,1.806513883185249,-2.2075313860693804,6.355571023018285,0.16339415057356402,1.719973094021975,2.9923028831940854,31.65148445440323,5.698670612749268,4.802095140581216,4.802095140581216,3.3460652149512318,1.931851652578137,1.931851652578137,0.9957819157813607,0.9957819157813607,0.577350269189626,0.577350269189626,0.288675134594813,0.288675134594813,-0.05506493506493516,34.3994618804395,6.944935064935065,4.1131454808735475,2.6177767286889972,43.73727805601834,13.963074402076037,0.0,0.0,0.0,0.0,7.3212123586851945,0.0,0.0,0.0,0.0,0.0,0.0,21.3293926238326,0.0,13.963074402076037,7.3212123586851945,0.0,0.0,0.0,0.0,21.3293926238326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.650604982517795,13.963074402076037,0.0,0.0,0.0,0.0,0.0,0.0,27.69,7.3212123586851945,0.0,0.0,0.0,0.0,0.0,21.3293926238326,0.0,0.0,13.963074402076037,0.0,13.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.020833333333332,1.0,7,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,0,0,4.0807897538997,0,-0.08950000000000014,26.780999999999988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TriMeBorate,B(OC)(OC)OC,-8.21,0.28,8.49,B,5.078333333333333,5.078333333333333,0.47222222222222276,-0.47222222222222276,0.5244223467220965,9.9,145.99499999999998,130.87499999999997,146.11142474,60,0,0.6388845626000994,-0.38617934117722463,0.6388845626000994,0.38617934117722463,0.8,1.1,1.3,16.73122568334502,10.210805150913862,2.172502216360128,-2.09315395736772,1.9048939447119646,-2.265221664791423,6.35805594022834,0.10683575555131833,1.8962594154766206,3.29508211630496,55.74860596185443,7.819990956308912,6.9234154841408575,6.9234154841408575,4.846065214951232,3.6944525285306287,3.6944525285306287,1.6547005383792515,1.6547005383792515,0.9082482904638634,0.9082482904638634,0.5525858577612697,0.5525858577612697,-0.05506493506493516,153.59701265360627,9.944935064935065,7.056730174987915,4.78930335883094,62.83210439920814,13.963074402076037,0.0,0.0,0.0,0.0,7.3212123586851945,0.0,0.0,0.0,0.0,0.0,20.771211599071872,19.820645893538753,0.0,13.963074402076037,7.3212123586851945,0.0,0.0,0.0,20.771211599071872,19.820645893538753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.14185825222395,13.963074402076037,0.0,20.771211599071872,0.0,0.0,0.0,0.0,27.69,7.3212123586851945,0.0,0.0,0.0,19.820645893538753,0.0,0.0,0.0,20.771211599071872,0.0,13.963074402076037,15.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.570555555555556,-0.47222222222222276,1.0,10,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,6,0,0,0,0,0,7.017872336102267,0,1.0808,40.63200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TriEtBorate,B(OCC)(OCC)OCC,-7.89,0.35,8.24,B,8.57925925925926,8.57925925925926,0.5254629629629635,-1.3414814814814815,0.4863557451376725,9.11111111111111,121.93199999999996,114.87599999999998,122.05390986399999,46,0,0.4879173224194049,-0.4231769588375584,0.4879173224194049,0.4231769588375584,1.0,1.5555555555555556,1.8888888888888888,16.376424021565185,9.80566690014443,2.069107307903089,-1.9387945151200463,1.8150047251271642,-2.2855509468846473,6.580468552907992,0.4255406310274662,1.9003726279897948,2.848234050597751,173.67255142981625,6.69023444431199,4.858528806137671,4.858528806137671,4.304530452640311,2.715756516612095,2.715756516612095,1.7843525461080458,1.7843525461080458,1.0977148884118204,1.0977148884118204,0.6251715119636216,0.6251715119636216,-0.7950649350649353,129.22533870330605,6.326812933813471,2.6636923395240744,1.5546835898898723,53.912474640382534,10.048045150132006,0.0,0.0,0.0,0.0,7.118392334224363,0.0,0.0,0.0,0.0,30.33183534230805,5.462803260414833,0.0,0.0,10.048045150132006,12.581195594639196,0.0,0.0,0.0,0.0,0.0,30.33183534230805,0.0,0.0,5.462803260414833,0.0,0.0,0.0,17.16643748435637,0.0,0.0,0.0,30.33183534230805,0.0,0.0,0.0,40.46,7.118392334224363,0.0,0.0,0.0,5.462803260414833,0.0,0.0,24.26546827384644,6.06636706846161,0.0,10.048045150132006,0.0,0.0,0.0,17.15851851851852,0.5254629629629635,0.0,8.6575,0.0,0.0,-1.3414814814814815,0.0,9,2,2,0,0,0,0,1,0,1,0,0,2,2,3,0,1,0,0,0,0,0,1.8725203494889753,1,-0.6336000000000004,36.267600000000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BenzeneBoronic,OB(O)c1ccccc1,-7.45,-0.52,6.93,B,5.92787037037037,5.92787037037037,0.23962962962963008,-0.2564403817082388,0.6509366029534512,23.066666666666666,204.078,186.94199999999995,204.13216018399999,80,0,0.49433009438853487,-0.39935272258371374,0.49433009438853487,0.39935272258371374,0.8666666666666667,1.3333333333333333,1.8,16.667341600267843,9.792069193941163,2.510361928123557,-2.318938754956428,2.357965668076651,-2.41220591564565,6.615980737233963,0.005784435120590248,2.3770987241473795,2.2390684186072294,329.8995688568715,11.104448006685086,9.780598196065483,9.780598196065483,6.9234332763753335,5.329011548372667,5.329011548372667,4.998933894338586,4.998933894338586,3.324984801569772,3.324984801569772,1.5893180042514372,1.5893180042514372,-0.7950649350649353,2462.6742782166853,10.713778245479064,3.3573712908271407,1.8171850080153897,91.73491912785471,9.308716268050691,0.0,0.0,0.0,0.0,7.118392334224363,0.0,0.0,0.0,0.0,30.33183534230805,33.15775205917733,0.0,11.202101621967376,9.308716268050691,12.581195594639196,0.0,0.0,0.0,38.89705042072987,0.0,30.33183534230805,0.0,0.0,5.462803260414833,0.0,0.0,0.0,18.32049395619174,9.308716268050691,0.0,27.694948798762496,30.33183534230805,0.0,0.0,0.0,18.46,0.0,0.0,0.0,18.32049395619174,0.0,5.462803260414833,0.0,0.0,30.33183534230805,27.694948798762496,9.308716268050691,11.85574074074074,0.0,0.0,0.0,0.566887755102041,0.0,10.055334467120181,0.0,8.261666666666667,-0.23962962962963008,0.5,15,0,2,0,1,1,0,1,0,1,0,0,2,0,3,1,1,0,1,1,0,0,2.398008766510652,2,1.9857999999999998,62.158000000000044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPinacol,B1(OC(C)(C)C(C)(C)O1)c2ccccc2,-7.12,-0.38,6.74,B,9.077280801209373,9.077280801209373,0.5537962962962968,-1.3971296296296305,0.6152203828586594,10.307692307692308,171.992,162.91999999999996,172.069559928,64,0,0.488558767616234,-0.42316327279253196,0.488558767616234,0.42316327279253196,0.8461538461538461,1.5384615384615385,2.3076923076923075,16.376470995812916,9.77104769926723,2.125064060297675,-2.034867089443525,2.099834583316103,-2.297114279753503,6.614686383763308,0.4259876800094132,2.165908407119638,2.756733762067337,420.6991890825721,9.259148545064338,7.013229344516924,7.013229344516924,6.287693700234703,4.126440119135054,4.126440119135054,2.942044616559152,2.942044616559152,2.101532203134054,2.101532203134054,1.4756144098912651,1.4756144098912651,-1.3150649350649353,1269.222326572108,8.290745443616071,3.2044859709038733,1.4366819708602179,76.59413917211774,10.048045150132006,0.0,0.0,0.0,0.0,7.118392334224363,0.0,0.0,0.0,0.0,42.46456947923127,16.235251689344423,0.0,0.0,10.048045150132006,23.353644023568787,0.0,0.0,0.0,0.0,0.0,42.46456947923127,0.0,0.0,5.462803260414833,0.0,0.0,0.0,17.16643748435637,0.0,0.0,0.0,42.46456947923127,0.0,10.772448428929591,0.0,40.46,7.118392334224363,0.0,0.0,0.0,5.462803260414833,10.772448428929591,0.0,6.06636706846161,36.39820241076966,0.0,10.048045150132006,0.0,0.0,0.0,20.064839380196524,0.5537962962962968,0.0,13.111827286470144,0.0,0.0,-1.3971296296296305,0.0,13,2,2,0,0,0,0,2,0,2,0,0,2,2,3,0,1,0,0,0,0,0,2.0436598048002237,2,0.5195999999999997,53.77360000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNaphthol,OB(O)c1cccc2ccccc12,-6.98,-0.61,6.37,B,10.652777777777779,10.652777777777779,1.257716049382716,-3.162037037037037,0.5489963488159847,11.875,140.075,131.003,140.02384539800002,50,0,0.47346724969102466,-0.2902439117977184,0.47346724969102466,0.2902439117977184,1.0,1.25,1.25,31.204920954029216,11.766808512618766,2.1830345487479237,-2.0756035270739543,2.45620258886362,-1.8818412757652774,7.479383036728161,0.17781349260063256,1.8672649607197351,3.7910098125875025,82.43699516085105,6.621320343559643,5.08020675735541,5.974633948355327,3.6819805153394642,1.9550416147318108,3.415635101412254,0.9949361530051241,2.9848084590153734,0.6708203932499369,2.012461179749811,0.22360679774997902,0.670820393249937,0.10999999999999999,52.28341890015258,8.109999999999998,3.1982710523049778,1.922411060811812,48.359381619618496,0.0,0.0,0.0,0.0,0.0,7.822697123132171,13.571241485135452,4.565048284931329,0.0,0.0,0.0,0.0,21.3293926238326,0.0,18.13628977006678,7.822697123132171,0.0,0.0,0.0,0.0,21.3293926238326,0.0,0.0,0.0,0.0,0.0,0.0,7.822697123132171,21.3293926238326,18.13628977006678,0.0,0.0,0.0,0.0,0.0,0.0,44.760000000000005,7.822697123132171,4.565048284931329,0.0,0.0,0.0,0.0,21.3293926238326,0.0,0.0,13.571241485135452,0.0,23.694444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6111111111111107,1.0,8,0,4,0,0,0,0,0,0,0,0,0,4,0,5,0,3,0,0,0,0,0,3.2422472792741703,0,1.0337,28.633499999999987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
